"Seats in Municipal Councils by region, party and election year"

"0126 Huddinge","The Liberal Party",6,8,8,4,8,8,6,4,4,8,6,5,4,4,3
"0126 Huddinge","The Christian Democratic Party",0,0,0,0,0,0,2,0,4,4,4,2,2,2,2
"0126 Huddinge","The Green Party",..,..,..,0,0,0,2,3,2,2,3,4,6,3,2
"0126 Huddinge","The Social Democratic Party",20,26,24,27,24,23,19,28,20,24,19,16,17,16,18
"0126 Huddinge","The Left Party",4,5,6,5,4,4,4,4,5,5,3,3,4,5,6
"0126 Huddinge","The Sweden Democrats",..,..,..,..,..,0,0,0,0,0,2,3,5,7,8
"0126 Huddinge","Other Parties",0,0,0,2,4,7,8,4,8,5,6,5,3,5,5
"0127 Botkyrka","The Moderate Party",10,10,14,15,15,10,15,13,14,9,15,13,10,12,10
"0127 Botkyrka","The Centre Party",14,10,7,5,2,4,3,1,0,0,1,0,1,2,3
"0127 Botkyrka","The Liberal Party",8,8,7,3,7,6,7,4,3,8,4,3,2,3,2
"0127 Botkyrka","The Christian Democratic Party",0,0,0,0,0,0,2,1,4,4,4,2,3,6,6
"0127 Botkyrka","The Green Party",..,..,..,1,2,4,3,3,3,3,3,4,7,4,2
"0127 Botkyrka","The Social Democratic Party",25,29,28,32,27,25,23,30,25,28,25,24,23,23,24
"0127 Botkyrka","The Left Party",4,4,5,5,5,5,3,5,7,6,5,4,5,7,8
"0127 Botkyrka","The Sweden Democrats",..,..,..,..,..,0,0,0,0,0,0,3,5,9,9
"0127 Botkyrka","Other Parties",0,0,0,0,3,7,5,4,5,3,4,8,5,9,11
"0128 Salem","The Moderate Party",..,..,..,10,12,10,10,10,13,11,14,13,11,11,11
"0128 Salem","The Centre Party",..,..,..,5,3,4,3,2,1,2,2,1,2,2,2
"0128 Salem","The Liberal Party",..,..,..,2,4,4,5,3,2,4,3,3,2,2,2
"0128 Salem","The Christian Democratic Party",..,..,..,0,0,0,1,1,2,2,1,1,1,1,1
"0128 Salem","The Green Party",..,..,..,0,0,1,1,2,1,1,2,2,2,1,0
"0128 Salem","The Social Democratic Party",..,..,..,12,10,10,9,11,10,9,8,7,7,7,7
